Taxonomy,JA1,JA2,JA3,JAB1,JAB2,JAB3,JAF1,JAF2,JAF3,JAL1,JAL2,JAL3
Pajaroellobacter,0,0.000490884,0.000631136,0.00056101,0.000420757,0.000631136,0.000490884,0.000841515,0.00056101,0.000490884,7.01E-05,0.000350631
Jeongeupia,7.01E-05,7.01E-05,7.01E-05,0.000631136,0,7.01E-05,0.000350631,0,7.01E-05,0,0,0
Sphingobium,0,7.01E-05,7.01E-05,7.01E-05,7.01E-05,0.000140252,0.000210379,0.000140252,7.01E-05,0.000140252,0.000140252,0.00056101
Flaviaesturariibacter,0.00056101,0.000280505,7.01E-05,0,0.000981767,0.001051893,0.000210379,0.000210379,0.000280505,0.000701262,0.00056101,0.000420757
Bradyrhizobium,0.000701262,0.000631136,0.000631136,0.000490884,0.000631136,0.000210379,0.000420757,0.00056101,0.000350631,0.000350631,0.000280505,0.000210379
Mycobacterium,0.000210379,0.000280505,0.000140252,0.00056101,0.000140252,0.000210379,0.000210379,0.000420757,0.000701262,0.000140252,0.000210379,0.000210379
Pseudolabrys,0.000490884,0.00056101,0.000280505,0.000420757,0.000420757,0.000420757,0.00056101,0.000771388,0.000420757,0.000280505,0.000490884,0.000140252
Luteitalea,0.000911641,0.000420757,0.000631136,0.000701262,0.000841515,0.000631136,0.000420757,0.000631136,0.000631136,0.000490884,0.00056101,0.000350631
Ornithinicoccus,0,0,0,0,0,7.01E-05,7.01E-05,0.000350631,0.000350631,0,0,0
Niastella,0.000280505,0.000140252,0.000350631,7.01E-05,7.01E-05,0,0.000350631,0.000210379,0.000420757,0,0,0
Novosphingobium,0.00056101,0.000210379,0.000210379,0.000350631,0.000701262,0.000981767,0.000280505,0.000420757,0.000280505,0.000631136,0.00056101,0.000210379
unidentified_Elusimicrobia,0.000490884,0.000140252,0.000490884,0.000771388,0,0,0.000701262,0.000140252,0.000140252,0.000210379,0,0
Dinghuibacter,0.000140252,0.000140252,0.000490884,7.01E-05,0,0,0,0,7.01E-05,7.01E-05,0,0
Nibribacter,7.01E-05,7.01E-05,7.01E-05,0,0.000350631,0.000140252,0,0,7.01E-05,0.00056101,0.000981767,0.000350631
Cohnella,0,7.01E-05,0,0,0.000210379,0.000140252,7.01E-05,0.000280505,7.01E-05,0.000210379,0.000210379,0.000911641
Ralstonia,0.000420757,0.00056101,0.000420757,0.000631136,0.000490884,0.000350631,0.00056101,0.000490884,0.000771388,0.000631136,0.000420757,0.000631136
Luteolibacter,0.000280505,0.000140252,0.000280505,0.000350631,0.000140252,0.000210379,0.000140252,0.000140252,0,0.000210379,0.000631136,0.000210379
Oligoflexus,0.000631136,0.000490884,0.000350631,7.01E-05,0.000911641,0.000771388,7.01E-05,0,7.01E-05,0.00056101,0.000771388,0.000350631
unidentified_Gemmatimonadaceae,0.000490884,0.000280505,0.000210379,0.000490884,7.01E-05,0.000140252,0.000350631,0.000210379,0.000350631,0.000210379,0.000140252,0
Sorangium,0.000140252,0.000350631,0.000631136,0.000210379,0.000140252,0.000210379,0.000631136,0.000631136,0.000631136,0.000140252,0,0
Segetibacter,0.000140252,0,0,0,7.01E-05,0.000210379,0,0,7.01E-05,0.000210379,0.000140252,0.000911641
Methylophilus,0.000140252,7.01E-05,0,7.01E-05,0.000140252,0,0,7.01E-05,7.01E-05,7.01E-05,0.000210379,0.000350631
Rhodopirellula,0.000140252,0.000350631,0.000280505,0.000350631,0.000280505,0.000280505,7.01E-05,0,0.000490884,0.000210379,0.000140252,0
Intrasporangium,0.000350631,0.000280505,0.000420757,0.000420757,0.000280505,0.000350631,0.00056101,0.000490884,0.000841515,0.000631136,0.000280505,0.000420757
Paenibacillus,0.000350631,0.000210379,0.000210379,0.000631136,0.000210379,0.000140252,0.000490884,0.000701262,0.000210379,0.000140252,0.000140252,0.00056101
Staphylococcus,0,0,0.000841515,0,0,0,0,0,7.01E-05,0,0.000140252,0
Phaselicystis,0.000140252,0.000631136,0.000771388,0.00056101,7.01E-05,0.000140252,0.000701262,0.000701262,0.000631136,0.000350631,0.000140252,7.01E-05
Ornithinimicrobium,0,7.01E-05,0.000140252,0,0,0,7.01E-05,0.000420757,0.000140252,7.01E-05,0,0
Crocinitomix,0,0,0.000140252,0,0,0,0,0,0.000841515,0,0,0
Truepera,0,0,0,0,7.01E-05,0,0.000140252,0.000841515,0.000490884,0,0,0
Woeseia,0.000490884,0.000140252,0.000420757,0.000210379,0.000350631,0.000280505,0.00056101,0.000771388,0.000420757,0.000420757,0.000210379,0
Actinocorallia,0.000350631,0,0.000771388,0,7.01E-05,0,0.000140252,0,0,0,0,0
Prosthecobacter,0.000140252,0,0,0,7.01E-05,0,7.01E-05,7.01E-05,0.000350631,7.01E-05,0.000140252,0.000280505
Chitinophaga,7.01E-05,0.000210379,0.000280505,0,0.000140252,7.01E-05,0.000140252,0.000210379,0,0.000280505,0.000140252,0.000140252
Paracoccus,0,7.01E-05,0,0,0.000210379,0.000350631,7.01E-05,0.000490884,0.000210379,0.000280505,0.000490884,0.000701262
unidentified_Planctomycetacia,7.01E-05,0.000140252,0.000140252,7.01E-05,7.01E-05,0,0,0,0,7.01E-05,0,0
unidentified_Sphingobacteriales,7.01E-05,7.01E-05,0.000350631,0,0.000140252,7.01E-05,0.000140252,7.01E-05,0.000280505,7.01E-05,0.000210379,0.000701262
Pseudorhodoplanes,0.000140252,0.000350631,0.000420757,0.000701262,0.000140252,0.000280505,0.000350631,0.000210379,0.000210379,0.000210379,7.01E-05,7.01E-05
Gemmatirosa,0.000140252,0.000140252,0.000631136,0.000140252,0,7.01E-05,7.01E-05,0.000210379,0.000210379,0,0,0
Agrococcus,0,0,0,0,0,0,0,7.01E-05,0,0,7.01E-05,0.000140252
Rheinheimera,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Xiphinematobacter,0,0,0,0,0,0,0,0,0,0,0,0
Kribbella,0.000140252,0.000210379,0.000420757,0.000210379,0.000280505,0.000140252,0,7.01E-05,0.000280505,7.01E-05,0,0.000280505
Cellvibrio,7.01E-05,0.000210379,7.01E-05,0,0.000280505,0.000490884,0,7.01E-05,7.01E-05,0.000280505,0.000280505,0.000280505
Erythrobacter,0,0,0,0,0,0.000140252,7.01E-05,7.01E-05,0,7.01E-05,0,0
Methylomonas,0,0,0,0,0,0,0,0,0,0,0,0
Fictibacillus,0,0,0,0,0,0,0,0,0,0.000140252,0,0
Planctopirus,7.01E-05,0.000140252,7.01E-05,0.00056101,0,7.01E-05,0,0.000210379,7.01E-05,0,0,0
Phreatobacter,0.00056101,0.000350631,0.00056101,0.000350631,0.000350631,0.000350631,0.000210379,0.000280505,0.000210379,0.000210379,0.000210379,0.000210379
Hirschia,0,0,0,0,0,0,0,0,0,0,0,0
Phyllobacterium,0.000280505,0,0.000140252,0.000210379,0.000140252,0.000140252,0.000140252,7.01E-05,7.01E-05,0.000210379,7.01E-05,0.000140252
Parviterribacter,0.000140252,0.000140252,0,7.01E-05,7.01E-05,7.01E-05,7.01E-05,0,0.000140252,7.01E-05,7.01E-05,0
unidentified_Deltaproteobacteria,0.000210379,7.01E-05,7.01E-05,0.00056101,0.000140252,0.000210379,0.000140252,7.01E-05,0.000140252,0.000280505,0,7.01E-05
Aridibacter,0.000210379,0.000210379,0.000280505,7.01E-05,7.01E-05,0,0.000140252,0,0.000280505,7.01E-05,7.01E-05,0
Glycomyces,0.000210379,7.01E-05,0,0.00056101,0.000140252,0.000280505,0.000210379,0,0.000280505,0.000280505,0,7.01E-05
Roseomonas,0,7.01E-05,7.01E-05,7.01E-05,7.01E-05,0.000350631,7.01E-05,0,0.000140252,0.000210379,0.00056101,0.000420757
Fimbriiglobus,7.01E-05,0.000210379,7.01E-05,0.000490884,0.000140252,0.000280505,0.000140252,0.000280505,7.01E-05,0.000280505,7.01E-05,7.01E-05
unidentified_Rokubacteria,0.000140252,0.000140252,7.01E-05,0.000350631,0.000280505,7.01E-05,0.000280505,0.000210379,0,0.000210379,7.01E-05,0
Herpetosiphon,0.000350631,0.000490884,0.000490884,0,7.01E-05,0.000140252,7.01E-05,0.000350631,0.000210379,0,0,0
Labrys,0.000280505,0.000210379,0.000210379,0.000210379,7.01E-05,7.01E-05,0.000490884,0.000210379,0.000210379,0.000280505,0,7.01E-05
Methyloversatilis,0,0,0,0,0,7.01E-05,0,0,0,0,0,0
Demequina,7.01E-05,7.01E-05,0,0.000420757,7.01E-05,7.01E-05,0,0.000490884,0.000420757,0.000210379,0,0
Alterococcus,7.01E-05,0.000140252,0.000350631,0.000140252,7.01E-05,0,0.000140252,0.000350631,0,7.01E-05,0,0
Candidatus_Udaeobacter,0.000140252,0,0,0.000140252,0,0,0,0,0,0,0,0
Phaeodactylibacter,0,0,7.01E-05,0,0,0,0.000210379,0,0,0,0.000140252,0
Conexibacter,0.000140252,0,7.01E-05,0.000350631,0,0,0.000280505,7.01E-05,0.000420757,0,0.000140252,0
unidentified_Rickettsiales,0.000140252,0.000420757,0,7.01E-05,0.000140252,0,0,0,0,7.01E-05,0.000210379,0
Rhodopseudomonas,0.000280505,0.000210379,0.000350631,0,0.000140252,0.000210379,0.000140252,0.000350631,0.000280505,0.000140252,0.000210379,0.000280505
Tumebacillus,7.01E-05,7.01E-05,7.01E-05,7.01E-05,0,7.01E-05,0,0.000140252,0.000140252,7.01E-05,0,0
Bdellovibrio,0,0,0,7.01E-05,0,0,0,0,7.01E-05,0,0,0
Bauldia,0,7.01E-05,0,0.000350631,0.000140252,0.000140252,7.01E-05,7.01E-05,7.01E-05,0.000140252,0,0
Citricoccus,0,0,0,0,0,0,0,0.000140252,0.000210379,0,0,0
Azoarcus,0,0.000140252,0,0.000420757,0.000280505,7.01E-05,0.000350631,0.000350631,0.000140252,7.01E-05,0,0
unidentified_Rhizobiales,0,0,7.01E-05,0.000140252,0,0,7.01E-05,7.01E-05,0,0,0,0
Peredibacter,0,7.01E-05,0.000210379,7.01E-05,0.000210379,0.000140252,0.000140252,0.000280505,0.000420757,0,0.000140252,0.000210379
Pelagibacterium,0,0,0,0,0,0.000420757,0,0,0.000280505,0,0.000280505,0.000210379
Sphingoaurantiacus,0,0.000210379,0,0,0.000140252,0.000210379,0.000140252,0.000140252,7.01E-05,0.000210379,0.000280505,0.000350631
Nordella,0.000210379,0,0.000210379,7.01E-05,0,0,0.000140252,0.000140252,7.01E-05,0.000140252,0,0
Umezawaea,0,7.01E-05,0,7.01E-05,7.01E-05,0,0.000140252,7.01E-05,0,0,0,0
Rivibacter,7.01E-05,7.01E-05,0.000210379,0.000420757,7.01E-05,0,0.000280505,0.000210379,0,0,0,0.000210379
Sporichthya,0,0.000140252,0,0,7.01E-05,0,0.000140252,7.01E-05,7.01E-05,0,0,0
Geobacter,7.01E-05,0.000210379,0,7.01E-05,0,0,0.000210379,0.000210379,0,0,0,0
Paludibaculum,0,0,0,0.000210379,0,0,7.01E-05,0.000140252,7.01E-05,7.01E-05,0,0
unidentified_Ignavibacteria,7.01E-05,0,7.01E-05,0.000420757,0,7.01E-05,0.000280505,0,0,0,0,0
Candidatus_Alysiosphaera,0.000210379,0.000140252,0.000140252,0.000350631,0.000140252,0,0.000140252,0,7.01E-05,0.000280505,0,0
unidentified_Phycisphaeraceae,0,0,0,0,0,0,7.01E-05,7.01E-05,0.000210379,0,0,0
Ferrovibrio,0,0,7.01E-05,0,0,0,7.01E-05,7.01E-05,7.01E-05,0.000140252,0,7.01E-05
Lacibacter,7.01E-05,7.01E-05,0.000350631,0.000140252,7.01E-05,0,0.000140252,0,7.01E-05,0,0.000140252,0.000140252
Pseudonocardia,0,0.000280505,0.000140252,7.01E-05,0.000280505,0.000210379,0.000280505,0.000140252,0.000280505,0,0,7.01E-05
Pseudofulvimonas,0,0,0,0,0,0,0,0.000140252,0.000280505,0,0,0
Rhodoplanes,0.000210379,0.000140252,0.000210379,0.000140252,0.000140252,0.000140252,0.000210379,0.000280505,0.000210379,0,0,7.01E-05
Imperialibacter,0,0,0,0,0,0,0,0.000140252,7.01E-05,0,0,0.000280505
Constrictibacter,0,0,0,7.01E-05,0.000140252,0,0,0,0.000350631,0,0,0
Zavarzinella,0.000210379,0,7.01E-05,0.000350631,0,7.01E-05,7.01E-05,0,0.000280505,0.000350631,0,7.01E-05
Tahibacter,0,0,7.01E-05,0.000140252,0,0,0,0,7.01E-05,0,0,0
Cnuella,0.000140252,0,0,0,0.000280505,0.000350631,0,0,0,0.000210379,0.000140252,0.000210379
Dokdonella,7.01E-05,0,0,7.01E-05,0.000140252,7.01E-05,0,0.000350631,0.000140252,0,0,0
Xanthomonas,7.01E-05,7.01E-05,0,0,0.000140252,0.000210379,0,0,0,0.000350631,7.01E-05,0.000140252
Actinoplanes,7.01E-05,0.000140252,0,0.000210379,0.000140252,0,0,0,7.01E-05,0.000280505,0,0.000140252
Legionella,7.01E-05,0,0.000140252,0.000140252,0.000140252,0,0,0.000210379,0.000280505,7.01E-05,0.000210379,0
Rhodocytophaga,0.000280505,0.000210379,0,0,0,0,0,7.01E-05,0,0.000140252,0.000210379,7.01E-05
Amaricoccus,0.000140252,0.000210379,0,0.000140252,0.000140252,0.000140252,0,0,7.01E-05,7.01E-05,0,0
Rhodococcus,0.000140252,0.000210379,7.01E-05,0.000140252,7.01E-05,7.01E-05,0,0.000140252,0.000210379,0.000210379,0.000280505,7.01E-05
Panacagrimonas,0,0,0,7.01E-05,7.01E-05,0,0,7.01E-05,7.01E-05,0,0,7.01E-05
Diplosphaera,0,0,0,0,0,0,0,0,0.000280505,0,0,0
Chthonomonas,7.01E-05,0,7.01E-05,0,0,0,0,0,0,0,0,0
Anaeromyxobacter,0.000140252,7.01E-05,0.000210379,0,0.000140252,0,0,0,7.01E-05,0,0,0
Taibaiella,0,0,0,0.000210379,0,0,7.01E-05,0,0,0,0,0
unidentified_Bacteriovoracaceae,0,0,0,0.000140252,0,0,0,0,7.01E-05,0,0,0
Sphingorhabdus,0.000140252,0,0,0,0,7.01E-05,0,7.01E-05,0.000210379,0,0,0
Alicyclobacillus,0,0,0,0,0,0,0,0,0,0,0,0
Actinophytocola,0,0.000140252,7.01E-05,7.01E-05,0,0,0,7.01E-05,0,0,0,0
Catalinimonas,0,0,0,0,7.01E-05,0,0,0.000140252,7.01E-05,0,0,0
Lutibacter,0,0,7.01E-05,0,0,0,0,0,0,0,0,0
Catellatospora,0,0,0,0,0,0,0,0,0.000140252,0,0,7.01E-05
Nakamurella,7.01E-05,0,0.000140252,0.000280505,0,0,7.01E-05,0,0,0,0,0
Planctomicrobium,0.000140252,0,0,0.000280505,0,0,0,0.000280505,7.01E-05,0.000140252,0,0
Cesiribacter,0,0,0,0,0,7.01E-05,7.01E-05,0,0,0,0.000280505,0
Singulisphaera,0,0,0.000140252,0,7.01E-05,7.01E-05,0,0,0,0,7.01E-05,0
Dietzia,0,0,0,0,0,0,0,7.01E-05,0.000280505,0,0,0
Bacteroides,0,0,0.000280505,0,0,0,0,0,0,0,0,0
Rhizocola,0,7.01E-05,0.000140252,0.000140252,0,0,7.01E-05,0,0,0,7.01E-05,7.01E-05
Candidatus_Omnitrophus,0,0,0,0,0,0,0.000280505,0,0,0,0,0
Paeniclostridium,0,0,0,0,0,0,0,0,0.000140252,0,0,0
unidentified_Acidimicrobiia,0,0,7.01E-05,0.000280505,7.01E-05,7.01E-05,0,7.01E-05,7.01E-05,7.01E-05,0,0.000210379
Cytophaga,0.000140252,0,7.01E-05,0,0,7.01E-05,0.000280505,0,0.000140252,0.000140252,7.01E-05,7.01E-05
Blastocatella,7.01E-05,7.01E-05,0.000280505,0,7.01E-05,0,0,0.000210379,0.000140252,0,0,0
Brachybacterium,0,0,0,0,0,0,0,0,0.000280505,0,0,0
Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,0
Chitinibacter,0,0,0,0.000280505,0,0,0.000210379,0,0,0,0,0
unidentified_Sandaracinaceae,0.000140252,7.01E-05,0.000140252,0.000210379,0,0,7.01E-05,0.000210379,0.000280505,0,0,0
Aureimonas,0,0,0,0,0,0,0,0,0,0,7.01E-05,0
Romboutsia,0,0,0,0,0,0,0,0,0.000140252,0,0,0
unidentified_Thermomicrobiales,0,0,0,0,0,0,0,0,0,0,0,0
Alloprevotella,0,0,0.000210379,0,0,0,0,0,0,0,0,0
Vulgatibacter,7.01E-05,0,0,7.01E-05,7.01E-05,0,0,0,0,0,0,0
Owenweeksia,0,0,0,0,0,0,0,0.000140252,7.01E-05,0,0,0
Aetherobacter,0,0.000210379,7.01E-05,0,0,0.000140252,0,0,7.01E-05,0,7.01E-05,0
Cryomorpha,0,0,0,0,0,0,0,0,0.000140252,0,0,0
Nitrosomonas,0.000210379,0,7.01E-05,0,0,0,0,0,0,0,0,0
Actinomadura,0,7.01E-05,0,0,0,0,0,0,7.01E-05,7.01E-05,0,0
unidentified_Clostridiales,0,0,0,0,0,0,0.000140252,7.01E-05,0.000140252,0,0,0
Coxiella,0,0,0,7.01E-05,0,0,0.000210379,0,0,7.01E-05,0,0
Cupriavidus,0,0,0,0.000210379,0,0,0,0,7.01E-05,0,0,0
Sideroxydans,7.01E-05,7.01E-05,0.000140252,7.01E-05,7.01E-05,0.000140252,0,0.000140252,7.01E-05,0.000140252,0.000140252,7.01E-05
Nocardia,0,7.01E-05,0,0,0.000140252,0,0,0,0,0,0,0
Turicibacter,0,7.01E-05,0,0,0,0,7.01E-05,0,7.01E-05,0,0,0
Tepidisphaera,0,0.000140252,0,0,0,7.01E-05,0.000140252,7.01E-05,7.01E-05,7.01E-05,0.000210379,7.01E-05
Candidatus_Berkiella,0,0,0,0,7.01E-05,7.01E-05,0,0,0,0,7.01E-05,0
Rhodomicrobium,0.000140252,0,7.01E-05,0,0,0,0,0,0,0,0,0
Shimazuella,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurifustis,7.01E-05,0,0,7.01E-05,0,0,7.01E-05,7.01E-05,0,7.01E-05,0,0
Sporocytophaga,0.000210379,0.000210379,7.01E-05,0,0,0.000140252,0,0,0.000140252,7.01E-05,0.000140252,0.000140252
Cellulosimicrobium,0,0,0,0,0,0,0,7.01E-05,7.01E-05,7.01E-05,0.000140252,7.01E-05
Rubinisphaera,0,0,0,0,0,0,0,0,0.000210379,0,0,0
Amycolatopsis,0,0,0,0,0.000210379,0,0,0,0,0,0,0
Parapedobacter,0,0,0,0,0,7.01E-05,0,7.01E-05,0,0,0,0
Mumia,0,0,7.01E-05,0.000210379,0,7.01E-05,0,0,7.01E-05,0,0,0
Pusillimonas,0,0,0,7.01E-05,0,0,0,7.01E-05,0,7.01E-05,0,0.000210379
Herbidospora,0,0,0.000140252,0.000140252,0,0,0.000140252,0,7.01E-05,0,0,0
Rhizorhapis,0,0,0,7.01E-05,7.01E-05,7.01E-05,0.000210379,0.000140252,0,0.000140252,0,0
Methylobacterium,7.01E-05,7.01E-05,0,0,0,7.01E-05,0,7.01E-05,7.01E-05,7.01E-05,0,7.01E-05
unidentified_Oligoflexales,0,7.01E-05,0,7.01E-05,0,0,0.000140252,0,0,0,0,0
unidentified_Melainabacteria,0,0,0,0,0.000210379,0,0,0,0,0,7.01E-05,0
Rhodovarius,0.000210379,7.01E-05,7.01E-05,7.01E-05,0.000140252,7.01E-05,0.000140252,7.01E-05,0.000140252,0.000140252,0,7.01E-05
unidentified_Cytophagales,0,0,0,0,0,0,0,7.01E-05,0.000210379,0,0,0
Asticcacaulis,0,0,0,0,0,0,0,7.01E-05,0,0,0.000140252,7.01E-05
Actinocatenispora,0,0,0,0,0.000140252,0,0,0,0,0,0,0
Candidatus_Amoebophilus,0,0,0,0,0,0,0,0,0,0,0,0
Immundisolibacter,0,0,0,0,7.01E-05,0,0,0,0,0,0,7.01E-05
Fodinicola,0,0,0,0,0.000140252,0,0,0,0,0,0,0
Candidatus_Ovatusbacter,0,0.000140252,0,0,7.01E-05,7.01E-05,0,7.01E-05,0,0.000140252,0,0
unidentified_Acidobacteriales,0,0,0,7.01E-05,0,0,0,7.01E-05,0,0,0,0
Roseimicrobium,0,7.01E-05,0,0,0,0,7.01E-05,0,7.01E-05,0,7.01E-05,0
Corticibacterium,0,0,0,0,0,0,0,0,0,0,0,0
Enteractinococcus,0,0,0,7.01E-05,0,0,0,0,0,0,0,0
Moheibacter,0,0,0,0,0,0,0,7.01E-05,7.01E-05,0,0,0
Thioalkalispira,0,0,0,0,0,0,0,0,0,0,0,0
Fontimonas,0,0,0,0,0,0,0,7.01E-05,0,0,0,0
Persicitalea,0,0,0,0,0,0,7.01E-05,0,0,0,0,0
unidentified_Paenibacillaceae,0,0,0,0,0,0,0,0,0,0,0,7.01E-05
unidentified_Solibacterales,0,0,0,0,0,0,0,0,0,0,0,0
Sulfuritalea,0,0,0,0.000140252,0,0,0,0,0,7.01E-05,0,7.01E-05
Litorilinea,0,0,7.01E-05,7.01E-05,0,0,7.01E-05,0,0,0,0,0
Longispora,7.01E-05,0,0,7.01E-05,0,0,7.01E-05,0,0.000140252,7.01E-05,0,0
Trichococcus,0,0,0,0,0,0.000140252,0,0,0,0,7.01E-05,0
Gallicola,0,0,0,0,0,0,0,0,0,0,0,0
Patulibacter,0,0,0,0,0.000140252,0,0,0,0,0,0,0
Nocardiopsis,0.000140252,0,0.000140252,0,0,0.000140252,0,0,0,7.01E-05,0,7.01E-05
Cutibacterium,0,0,7.01E-05,0,0,0,0,0,0,0,0,0
Aquipuribacter,0,0,0,0,0,0,0,0,0,0,0,0
unidentified_Candidatus_Jorgensenbacteria,0,0,0,0,0,0,0,0,0,0,0,0
Niabella,0,0,0,0,7.01E-05,0,0,0,0,0,0,0
Thalassobaculum,0,0,0,0,0,0,0,0,7.01E-05,0,0,0
Geminicoccus,0,0,0,0,0,0,0,0,0,7.01E-05,7.01E-05,0
unidentified_Planctomycetes,0,0,7.01E-05,0,0,0,0.000140252,7.01E-05,0,0,0,0
Pseudohongiella,0,0,0,0,7.01E-05,0,0,0,0.000140252,0,0,0
Methylocaldum,0,0,0,0,0,0,0,0,0,0,0,0
Inquilinus,0,0,0.000140252,0,0,0,0,0,0,0,0,0
Fermentimonas,0,0,0,0,0,0,0,0,0,0,0,0
Afipia,0,0,0,0,0,0,0,0,0,0,0,0
Euzebya,7.01E-05,0,7.01E-05,0,0,0,7.01E-05,7.01E-05,0.000140252,0,0,0
Fastidiosipila,0,7.01E-05,0,0,0,0,0,0,0,0,0,0
Egicoccus,0,0,0,0,0,0,0,7.01E-05,7.01E-05,0,0,0
Neochlamydia,0,0,0,0,0,0,0,0,0,0,0,0
Rubellimicrobium,7.01E-05,0,0,0,0,0,0,0,0,0,0,0
unidentified_Microscillaceae,0,0,7.01E-05,0,0,7.01E-05,7.01E-05,7.01E-05,7.01E-05,0,0,0
Tunicatimonas,0,0,0,0,0,0,0,7.01E-05,0,0,0,0
Dechloromonas,0,0,7.01E-05,0,0,7.01E-05,0,0,0,0,0,0
Candidatus_Nitrososphaera,0,0,0,0,0,0,0,0,0,0,0,0
Agaricicola,0,0,0,0,0,0,0,0,0,0,0,0
Marivirga,0,0,0,0,0,0,0,0,0,0,0,0
Ornithobacterium,0,0,0,0,0,0,0,0,0,0,0,0
unidentified_Rhodobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0
Galbibacter,0,0,0,0,0,0,0,0,0,0,0,0
unidentified_Planctomycetales,0,7.01E-05,7.01E-05,0,7.01E-05,7.01E-05,0,0,7.01E-05,0,0,0
Brevibacterium,0,7.01E-05,0,7.01E-05,0,0,0,0,0,0,0,0
unidentified_Prolixibacteraceae,0,0,0,0,0,0,0,0,7.01E-05,0,0,0
Cerasicoccus,0,0,0,0,0,0,0,0,0,0,0,0
Marinicella,0,0,0,0,0,0,0,0,0,0,0,0
Atopostipes,0,0,0,0,0,0,0,0,7.01E-05,0,0,0
Craurococcus,0,0,0,7.01E-05,0,0,0,0,0,0,0,0
Edaphobacter,0,0,0,0,0,0,0,0,0,0,0,0
unidentified_Prevotellaceae,0,0,7.01E-05,0,0,0,0,0,0,0,0,0
Spiroplasma,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobacteriovorax,0,0,0,0,0,0,0,0,0,0,0,0
Ochrobactrum,7.01E-05,0,0,0,7.01E-05,7.01E-05,0,0,0,0,0,7.01E-05
Silvanigrella,7.01E-05,7.01E-05,0,0,0,0,0,0,0,0,7.01E-05,0
Taonella,0,0,0,0,7.01E-05,0,0,0,0,0,0,0
Williamsia,0,0,0,0,0,0,0,0,0,0,0,0
unidentified_Corynebacteriaceae,0,0,0,0,0,0,0,0,0,7.01E-05,0,0
Tessaracoccus,0,0,0,0,7.01E-05,0,0,0,0,0,0,0
Nevskia,0,0,7.01E-05,0,0,0,0,0,0,0,0,0
Terrimicrobium,0,0,0,0,0,0,0,0,0,0,0,0
Acuticoccus,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelothrix,0,0,0,0,0,0,0,0,0,0,0,0
Actinoallomurus,0,0,0,0,0,0,0,0,0,0,0,0
Hydrotalea,0,0,0,0,0,0,0,0,0,0,0,0
Proteiniphilum,0,0,0,0,0,0,0,0,0,0,0,0
Terriglobus,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetospora,0,0,0,0,0,0,0,0,0,0,0,0
Ferritrophicum,0,0,0,0,0,0,0,0,0,0,0,0
Algisphaera,0,0,0,0,0,0,0,0,0,0,0,0
Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0,0
Proteiniclasticum,0,0,0,0,0,0,0,0,0,0,0,0
Methylopila,0,0,0,0,0,0,0,0,0,0,0,0
unidentified_Candidatus_Woesebacteria,0,0,0,0,0,0,0,0,0,0,0,0
Others,0.593969144,0.491093969,0.63141655,0.660098177,0.433380084,0.388359046,0.640462833,0.547475456,0.533029453,0.390462833,0.254207574,0.28997195
